process_id,final_rinse_total_turbidity_liter
20001,4318275.125548181
20002,437528.57109794125
20003,427197.73393308115
20004,719783.0261053689
20005,413310.6503749336
20008,4100847.086411854
20011,3058669.1952039953
20014,2706871.4373974227
20016,521755.333490699
20017,103724.28729467509
20018,1366681.8465563096
20019,53408.50996778967
20023,1875568.3397814485
20025,327966.6135227812
20030,508890.15811140934
20033,668203.1933072082
20035,433945.22823909787
20037,314885.31076352124
20039,1763055.4335154227
20042,689355.9961675406
20043,1585300.1251132558
20044,349528.28908061254
20045,983082.6895779014
20046,1079254.3465584088
20047,326358.1489649119
20049,660466.9393707699
20050,553740.2726604891
20051,59006.66805360914
20053,1707946.5172790922
20057,758868.590742599
20058,58417.41697918879
20062,589065.7840487395
20065,692860.5903703253
20066,557125.2766121335
20067,10079370.048694493
20070,454609.2506713713
20071,25770.55640968685
20072,2201019.4630721896
20073,1122709.273260884
20074,1997356.3698821873
20075,1005577.6327619597
20076,1888933.9483554882
20077,670386.186969382
20078,221045.22542765347
20079,208586.03690688746
20080,1677787.295109863
20081,822059.0113182024
20082,79968.77043649786
20084,3923354.6678586826
20085,242457.95630174028
20086,284702.85216169193
20087,268526.69105571334
20088,1211226.6550318762
20089,481189.9546289185
20092,209807.73456095913
20094,1715213.3257754354
20096,606564.3480544391
20097,170729.4960252284
20098,608769.0463261955
20100,9774571.698845387
20103,244031.48818641572
20104,83230.38870882674
20109,215801.84343904906
20110,790950.8445560676
20111,715749.0761227215
20112,87586.23379334575
20113,33027574.441927344
20114,340409.80842807435
20116,981077.2713607602
20117,432515.22452593036
20118,675906.8822999485
20119,610410.0020640168
20120,507510.1518451057
20121,552705.351593161
20123,514024.4034063168
20124,115467.57637833289
20125,85620.62408764982
20126,583989.7984577256
20128,447662.3955567317
20129,544923.3680924244
20130,170105.26999191486
20131,7151736.206017436
20132,1598360.2094018043
20133,3917449.880511436
20134,1981416.7279523853
20135,542285.4558503001
20136,582825.4240579902
20138,312916.1908872787
20141,197242.20509219397
20142,467610.06587773236
20143,1152549.6100425334
20144,478868.63722532283
20145,811150.4063333938
20146,5089.7360757908955
20147,1902327.2043713683
20148,4659468.495388232
20149,122502.73989219184
20151,362779.9030887237
20152,456242.6304936544
20153,231036.01253721668
20154,18514.478695761536
20155,1264414.3900759013
20157,687116.3529092667
20158,782447.1252277994
20160,74226.56800155442
20161,83065.90682064739
20162,650241.0307474727
20163,2121933.8815461476
20164,57302.97038427699
20165,1603920.9446258934
20166,25080103.96259089
20167,180658.4844950961
20168,7919544.017923076
20171,911381.7184603249
20173,427280.09722644347
